Date,pnl
2006-05-01,0.0
2006-08-22,0.0981801345304
2006-08-23,0.574361505372
2006-08-24,0.698238459577
2006-08-25,0.705678716466
2006-08-28,1.1825246243
2006-08-29,2.10109044978
2006-08-30,2.37674589172
2006-08-31,3.28053128303
2006-09-01,2.43529872142
2006-09-05,2.40334627438
2006-09-06,2.1845548783
2006-09-07,1.92416289114
2006-09-08,3.96031826145
2006-09-11,6.4585317355
2006-09-12,5.38751752528
2006-09-13,6.06000982884
2006-09-14,6.15120042215
2006-09-15,5.48365295462
2006-09-18,4.78392320946
2006-09-19,5.12809497896
2006-09-20,4.98128982356
2006-09-21,5.22786295259
2006-09-22,6.04048448626
2006-09-25,6.74290338639
2006-09-26,6.29788792236
2006-09-27,6.87570990674
2006-09-28,6.35066462129
2006-09-29,6.54431959512
2006-10-02,6.76472587797
2006-10-03,3.3667859008
2006-10-04,1.12937534616
2006-10-05,1.08345637143
2006-10-06,1.29636094267
2006-10-09,1.49869819977
2006-10-10,1.13325032177
2006-10-11,0.992730059329
2006-10-12,1.79782332893
2006-10-13,2.45385352796
2006-10-16,1.68752896268
2006-10-17,1.75278692971
2006-10-18,2.39827238003
2006-10-19,4.02909789371
2006-10-20,5.25098309936
2006-10-23,4.76246665365
2006-10-24,5.72365287422
2006-10-25,6.61122766821
2006-10-26,6.07166330246
2006-10-27,5.83796520862
2006-10-30,5.77779341423
2006-10-31,7.23664228939
2006-11-01,8.42319199939
2006-11-02,6.29518394725
2006-11-03,7.77442802738
2006-11-06,9.81580145841
2006-11-07,8.48825392106
2006-11-08,11.9868097171
2006-11-09,12.0720759582
2006-11-10,12.3901210844
2006-11-13,12.3947970035
2006-11-14,13.1695452777
2006-11-15,13.5367110973
2006-11-16,13.3265697893
2006-11-17,12.6374510219
2006-11-20,12.9536004734
2006-11-21,14.0813334893
2006-11-22,14.9759581749
2006-11-24,14.560155406
2006-11-27,13.9628835833
2006-11-28,14.3135514029
2006-11-29,15.9676148334
2006-11-30,17.2666249604
2006-12-01,16.8154437425
2006-12-04,18.187059092
2006-12-05,18.6401272554
2006-12-06,19.0359040118
2006-12-07,18.9411911287
2006-12-08,19.3998645979
2006-12-11,19.0412757159
2006-12-12,18.8936632753
2006-12-13,19.1577762035
2006-12-14,18.8175457432
2006-12-15,18.373023198
2006-12-18,18.1662883764
2006-12-19,18.0639911949
2006-12-20,17.9687976574
2006-12-21,18.237622338
2006-12-22,19.3348701507
2006-12-26,20.3723064413
2006-12-27,20.5873309781
2006-12-28,20.5087871445
2006-12-29,21.0161821278
2007-01-03,20.916720841
2007-01-04,20.015802255
2007-01-05,20.1885162707
2007-01-08,20.7106537792
2007-01-09,21.9063395841
2007-01-10,22.6555508031
2007-01-11,23.3599081131
2007-01-12,24.7901218796
2007-01-16,25.5346973713
2007-01-17,28.0840928207
2007-01-18,26.9966993651
2007-01-19,27.3963012861
2007-01-22,27.5718742578
2007-01-23,27.0801180228
2007-01-24,26.7754202223
2007-01-25,26.7901907737
2007-01-26,27.1034471765
2007-01-29,28.2248956096
2007-01-30,27.2071407286
2007-01-31,28.3405469006
2007-02-01,28.6941190741
2007-02-02,27.9048207382
2007-02-05,30.7387156188
2007-02-06,30.7040845185
2007-02-07,30.6323828834
2007-02-08,31.1802306504
2007-02-09,31.6925903433
2007-02-12,31.6943624496
2007-02-13,32.6557170877
2007-02-14,34.8378036164
2007-02-15,35.3157470175
2007-02-16,36.5812714588
2007-02-20,36.9044112518
2007-02-21,36.9727905563
2007-02-22,38.402772424
2007-02-23,40.7384486082
2007-02-26,35.2930018283
2007-02-27,33.7907552588
2007-02-28,34.1086178201
2007-03-01,35.0328702042
2007-03-02,37.0820180783
2007-03-05,34.7031928454
2007-03-06,34.6346855956
2007-03-07,35.4417495944
2007-03-08,36.1255577737
2007-03-09,37.0957019521
2007-03-12,37.8248093195
2007-03-13,37.3952023014
2007-03-14,36.8721826757
2007-03-15,36.7609518749
2007-03-16,36.562659249
2007-03-19,37.1087130826
2007-03-20,36.4536844224
2007-03-21,36.5854971538
2007-03-22,37.4959164774
2007-03-23,37.8644333295
2007-03-26,37.7295583136
2007-03-27,38.5718113168
2007-03-28,37.8290473008
2007-03-29,37.7618303026
2007-03-30,38.8278918144
2007-04-02,38.3297700104
2007-04-03,39.3413411326
2007-04-04,40.2083091576
2007-04-05,40.7286902066
2007-04-09,40.6680700825
2007-04-10,41.0517476822
2007-04-11,41.5414972936
2007-04-12,42.1701313434
2007-04-13,42.0134486357
2007-04-16,41.7788030039
2007-04-17,42.399775732
2007-04-18,43.4544691094
2007-04-19,43.4257528076
2007-04-20,43.7413147474
2007-04-23,44.9525347519
2007-04-24,45.8580997572
2007-04-25,45.3082908079
2007-04-26,45.1632984048
2007-04-27,45.7827575763
2007-04-30,45.6377818758
2007-05-01,44.6675719309
2007-05-02,42.837874856
2007-05-03,43.1731461709
2007-05-04,44.4575124935
2007-05-07,44.9348323277
2007-05-08,45.9738071238
2007-05-09,46.0659086529
2007-05-10,46.4191190811
2007-05-11,47.00174195
2007-05-14,48.3643020451
2007-05-15,48.9568335107
2007-05-16,51.0386919675
2007-05-17,51.6596802164
2007-05-18,51.9407282136
2007-05-21,51.6941466838
2007-05-22,52.0429874153
2007-05-23,52.8584632785
2007-05-24,53.1248826977
2007-05-25,53.998500946
2007-05-29,54.8120849528
2007-05-30,57.3456314258
2007-05-31,60.4285636799
2007-06-01,63.9985116462
2007-06-04,64.5443398768
2007-06-05,62.2822583291
2007-06-06,62.3725274439
2007-06-07,61.4029059759
2007-06-08,60.9251887552
2007-06-11,62.3242721109
2007-06-12,61.9543866888
2007-06-13,64.536050201
2007-06-14,62.884005699
2007-06-15,64.2628653442
2007-06-18,65.49064914
2007-06-19,65.303051433
2007-06-20,66.294794847
2007-06-21,66.3938295997
2007-06-22,65.30629059
2007-06-25,64.2318595918
2007-06-26,64.7501539018
2007-06-27,65.5521012549
2007-06-28,66.3585650755
2007-06-29,67.5758452559
2007-07-02,69.2022460806
2007-07-03,72.1353086323
2007-07-05,74.0951016272
2007-07-06,76.1116443152
2007-07-09,75.1889350506
2007-07-10,76.4344444042
2007-07-11,76.1529710964
2007-07-12,75.426599884
2007-07-13,77.2836714206
2007-07-16,80.4090983444
2007-07-17,78.9054265587
2007-07-18,80.2585593628
2007-07-19,80.8015446639
2007-07-20,80.4837322671
2007-07-23,82.90944405
2007-07-24,82.7001421684
2007-07-25,87.375060981
2007-07-26,93.1207998468
2007-07-27,96.7545883251
2007-07-30,97.4622372873
2007-07-31,94.175848381
2007-08-01,95.8700122936
2007-08-02,99.2313354756
2007-08-03,95.0856074971
2007-08-06,96.9135023108
2007-08-07,103.078968627
2007-08-08,109.171185361
2007-08-09,97.0265331531
2007-08-10,92.7600462749
2007-08-13,93.234427836
2007-08-14,94.5405790083
2007-08-15,97.9663086064
2007-08-16,97.2884981024
2007-08-17,96.177086511
2007-08-20,95.2773288564
2007-08-21,96.2400419584
2007-08-22,95.9918531472
2007-08-23,96.0206998189
2007-08-24,96.4964945025
2007-08-27,95.4640501786
2007-08-28,94.83617918
2007-08-29,95.0857430756
2007-08-30,95.1702286791
2007-08-31,95.9240272324
2007-09-04,96.3166283911
2007-09-05,97.4275951846
2007-09-06,97.5375393178
2007-09-07,98.7246018385
2007-09-10,99.1664019992
2007-09-11,100.040810444
2007-09-12,99.2707566856
2007-09-13,98.8212882291
2007-09-14,99.0389299822
2007-09-17,99.1455856124
2007-09-18,100.383559192
2007-09-19,101.479167101
2007-09-20,102.73206919
2007-09-21,103.500226892
2007-09-24,104.639150034
2007-09-25,105.170951936
2007-09-26,105.52247707
2007-09-27,104.584235921
2007-09-28,104.451726376
2007-10-01,103.452164873
2007-10-02,103.227476016
2007-10-03,103.598585708
2007-10-04,103.741959373
2007-10-05,104.071516656
2007-10-08,104.380644424
2007-10-09,104.889324096
2007-10-10,104.67529802
2007-10-11,104.420647624
2007-10-12,104.453313053
2007-10-15,105.018817224
2007-10-16,105.237672252
2007-10-17,106.247392934
2007-10-18,106.348624575
2007-10-19,105.617165807
2007-10-22,105.595126995
2007-10-23,105.196997644
2007-10-24,106.283736523
2007-10-25,107.108996012
2007-10-26,106.663633046
2007-10-29,106.865093728
2007-10-30,106.969679261
2007-10-31,108.584055609
2007-11-01,108.645727498
2007-11-02,108.489231863
2007-11-05,108.343530622
2007-11-06,108.147672016
2007-11-07,107.449298556
2007-11-08,108.451279371
2007-11-09,109.012262739
2007-11-12,107.802936318
2007-11-13,107.182162771
2007-11-14,107.204597183
2007-11-15,107.745261313
2007-11-16,109.494930343
2007-11-19,111.409613836
2007-11-20,111.563823995
2007-11-21,110.84032031
2007-11-23,110.68440567
2007-11-26,111.599312594
2007-11-27,111.82377436
2007-11-28,112.183164839
2007-11-29,112.542517825
2007-11-30,112.881699678
2007-12-03,113.745052193
2007-12-04,112.749181413
2007-12-05,112.194187457
2007-12-06,111.031544497
2007-12-07,111.102779482
2007-12-10,109.533429912
2007-12-11,110.241436527
2007-12-12,110.111617382
2007-12-13,110.01387413
2007-12-14,109.786059015
2007-12-17,109.303565748
2007-12-18,109.580288572
2007-12-19,109.717594966
2007-12-20,110.068040362
2007-12-21,110.778656247
2007-12-24,111.210217293
2007-12-26,110.56497215
2007-12-27,110.986725354
2007-12-28,110.137644492
2007-12-31,110.47498792
2008-01-02,112.739867545
2008-01-03,115.14382609
2008-01-04,117.718401542
2008-01-07,119.380831949
2008-01-08,120.438238373
2008-01-09,119.51226929
2008-01-10,120.934859682
2008-01-11,119.937387841
2008-01-14,120.613562786
2008-01-15,120.355605353
2008-01-16,122.630637571
2008-01-17,122.516322842
2008-01-18,130.180412405
2008-01-22,131.082658213
2008-01-23,128.4775515
2008-01-24,128.422841745
2008-01-25,128.113530376
2008-01-28,128.398388604
2008-01-29,128.12375632
2008-01-30,128.747505534
2008-01-31,128.923008079
2008-02-01,128.89826827
2008-02-04,126.016949096
2008-02-05,126.308213619
2008-02-06,126.197333479
2008-02-07,125.769704398
2008-02-08,126.788918262
2008-02-11,126.371634276
2008-02-12,126.79688356
2008-02-13,126.823582109
2008-02-14,126.689794066
2008-02-15,127.908169798
2008-02-19,128.548928614
2008-02-20,128.416052297
2008-02-21,128.679986227
2008-02-22,129.371745614
2008-02-25,129.503880064
2008-02-26,128.907130593
2008-02-27,129.080819181
2008-02-28,128.967808888
2008-02-29,129.410838545
2008-03-03,128.67238334
2008-03-04,129.151417445
2008-03-05,130.088499708
2008-03-06,130.287800948
2008-03-07,132.40474685
2008-03-10,132.806623229
2008-03-11,132.03479249
2008-03-12,132.748894928
2008-03-13,133.196613
2008-03-14,135.018906131
2008-03-17,133.875327523
2008-03-18,134.666198143
2008-03-19,135.835142944
2008-03-20,135.769294572
2008-03-24,135.119981264
2008-03-25,135.422627554
2008-03-26,136.01035101
2008-03-27,136.433394627
2008-03-28,136.366342298
2008-03-31,135.131120913
2008-04-01,134.799298361
2008-04-02,134.85361465
2008-04-03,135.075613836
2008-04-04,134.881188067
2008-04-07,134.775293262
2008-04-08,134.710669856
2008-04-09,134.548520075
2008-04-10,134.778932804
2008-04-11,135.898022771
2008-04-14,135.641258959
2008-04-15,134.651143479
2008-04-16,134.638042897
2008-04-17,135.347936847
2008-04-18,135.874950023
2008-04-21,136.343332275
2008-04-22,135.455486925
2008-04-23,134.930897463
2008-04-24,134.579691081
2008-04-25,134.646587143
2008-04-28,134.913377635
2008-04-29,134.665120368
2008-04-30,134.973919118
2008-05-01,134.811587969
2008-05-02,133.918771649
2008-05-05,134.681757917
2008-05-06,134.979749615
2008-05-07,135.650094932
2008-05-08,135.448063108
2008-05-09,135.327875824
2008-05-12,136.563768548
2008-05-13,136.306995883
2008-05-14,136.578326863
2008-05-15,137.112073333
2008-05-16,137.918124865
2008-05-19,138.377616993
2008-05-20,139.278506894
2008-05-21,138.884686283
2008-05-22,138.221740655
2008-05-23,138.617595283
2008-05-27,137.706918278
2008-05-28,137.43758971
2008-05-29,137.924709207
2008-05-30,137.712044731
2008-06-02,137.561001681
2008-06-03,140.214128759
2008-06-04,140.385170855
2008-06-05,140.358208825
2008-06-06,141.401020064
2008-06-09,140.530987861
2008-06-10,141.639162529
2008-06-11,140.948829651
2008-06-12,141.044353224
2008-06-13,142.576040248
2008-06-16,143.304288202
2008-06-17,143.186176015
2008-06-18,143.081900561
2008-06-19,143.693110335
2008-06-20,145.170518979
2008-06-23,146.664339753
2008-06-24,145.421702688
2008-06-25,145.620367813
2008-06-26,146.752447537
2008-06-27,147.27378371
2008-06-30,147.694423931
2008-07-01,150.267613842
2008-07-02,150.414693192
2008-07-03,151.71053746
2008-07-07,152.525513716
2008-07-08,150.082446684
2008-07-09,151.897277751
2008-07-10,153.465115428
2008-07-11,154.566670562
2008-07-14,156.958318963
2008-07-15,153.099920169
2008-07-16,153.82474656
2008-07-17,153.17379932
2008-07-18,153.116271303
2008-07-21,153.343357552
2008-07-22,152.972396566
2008-07-23,153.861435297
2008-07-24,154.55564982
2008-07-25,154.512235012
2008-07-28,153.033781517
2008-07-29,152.067738522
2008-07-30,151.444007826
2008-07-31,151.204490679
2008-08-01,151.417234001
2008-08-04,150.260517112
2008-08-05,149.107200439
2008-08-06,147.750235239
2008-08-07,147.382090418
2008-08-08,148.913935454
2008-08-11,149.000305528
2008-08-12,150.03396339
2008-08-13,149.710555282
2008-08-14,149.638137298
2008-08-15,149.568914237
2008-08-18,149.408285973
2008-08-19,149.427265251
2008-08-20,149.6531304
2008-08-21,149.080478149
2008-08-22,148.916381697
2008-08-25,149.394000296
2008-08-26,149.237614341
2008-08-27,149.168808091
2008-08-28,149.346567749
2008-08-29,149.593991559
2008-09-02,152.062656215
2008-09-03,152.94829844
2008-09-04,153.083902141
2008-09-05,154.319308406
2008-09-08,158.253644915
2008-09-09,157.371161788
2008-09-10,158.043774421
2008-09-11,156.291823962
2008-09-12,154.937459711
2008-09-15,155.954370067
2008-09-16,157.12012892
2008-09-17,154.761131751
2008-09-18,154.017304484
2008-09-19,153.591831886
2008-09-22,152.738949381
2008-09-23,152.324070236
2008-09-24,151.917706659
2008-09-25,152.326718258
2008-09-26,152.916232035
2008-09-29,150.861589666
2008-09-30,150.948891483
2008-10-01,153.293306032
2008-10-02,153.495419283
2008-10-03,157.880921448
2008-10-06,159.962919921
2008-10-07,162.176152226
2008-10-08,165.26500991
2008-10-09,171.540771881
2008-10-10,159.524219799
2008-10-13,161.959044498
2008-10-14,163.488864779
2008-10-15,163.04623317
2008-10-16,161.607505327
2008-10-17,161.406110139
2008-10-20,161.309794405
2008-10-21,161.946542876
2008-10-22,163.891347167
2008-10-23,164.99347707
2008-10-24,166.377400967
2008-10-27,165.693529682
2008-10-28,163.037052639
2008-10-29,162.249719043
2008-10-30,161.918698663
2008-10-31,161.545468509
2008-11-03,161.258171642
2008-11-04,161.103244592
2008-11-05,160.864865955
2008-11-06,160.950528952
2008-11-07,161.574410978
2008-11-10,162.15459869
2008-11-11,163.601921504
2008-11-12,163.604313391
2008-11-13,164.069681217
2008-11-14,164.811297375
2008-11-17,164.92764206
2008-11-18,166.334371759
2008-11-19,167.50094978
2008-11-20,167.804268642
2008-11-21,165.494742545
2008-11-24,166.253729729
2008-11-25,165.693579536
2008-11-26,165.617843678
2008-11-28,165.460236722
2008-12-01,165.477396292
2008-12-02,165.357901481
2008-12-03,165.829308969
2008-12-04,166.078544817
2008-12-05,165.710436479
2008-12-08,165.457093202
2008-12-09,166.038921204
2008-12-10,165.664876433
2008-12-11,165.100229603
2008-12-12,165.033904438
2008-12-15,165.010315615
2008-12-16,164.667807169
2008-12-17,164.43556439
