Date,pnl
2006-05-01,0.0
2006-07-26,-0.420171424501
2006-07-27,0.327028214462
2006-07-28,0.304635440936
2006-07-31,1.20914192937
2006-08-01,0.789490479375
2006-08-02,-0.351487118652
2006-08-03,-0.634954420973
2006-08-04,-1.27225204011
2006-08-07,-1.37661464207
2006-08-08,-1.17614850519
2006-08-09,-2.28524762312
2006-08-10,-2.26665183269
2006-08-11,-2.7000488846
2006-08-14,-2.18429464781
2006-08-15,-3.17279667223
2006-08-16,-4.37607387118
2006-08-17,-4.17245723921
2006-08-18,-4.3215193115
2006-08-21,-3.87860286963
2006-08-22,-4.01273711605
2006-08-23,-3.92120670643
2006-08-24,-3.75245089652
2006-08-25,-4.00098400802
2006-08-28,-3.86808612084
2006-08-29,-3.93810223731
2006-08-30,-3.77820744064
2006-08-31,-3.62826837058
2006-09-01,-4.37060303859
2006-09-05,-4.25250143445
2006-09-06,-4.21063449821
2006-09-07,-4.27310254505
2006-09-08,-3.14518329118
2006-09-11,-3.42490999541
2006-09-12,-3.13650883084
2006-09-13,-4.0529680539
2006-09-14,-3.68659697534
2006-09-15,-4.36146187503
2006-09-18,-5.00696238437
2006-09-19,-3.55077276844
2006-09-20,-3.77022850688
2006-09-21,-4.06532418827
2006-09-22,-3.25347370186
2006-09-25,-3.35276560797
2006-09-26,-3.99942749712
2006-09-27,-4.09341780944
2006-09-28,-4.41335485789
2006-09-29,-4.4042914584
2006-10-02,-5.14568973418
2006-10-03,-6.4763835676
2006-10-04,-8.31718818504
2006-10-05,-8.31858015736
2006-10-06,-8.14942998933
2006-10-09,-8.00207946007
2006-10-10,-7.8006150462
2006-10-11,-7.67112996897
2006-10-12,-7.37185587691
2006-10-13,-6.7839004102
2006-10-16,-7.0870831558
2006-10-17,-6.93934031194
2006-10-18,-6.90019973118
2006-10-19,-5.14945965531
2006-10-20,-3.67541265109
2006-10-23,-4.02371588068
2006-10-24,-3.11096940178
2006-10-25,-2.44546820028
2006-10-26,-2.5751154507
2006-10-27,-2.5399268021
2006-10-30,-1.84325397417
2006-10-31,0.136526147157
2006-11-01,1.26638475183
2006-11-02,-0.45844000585
2006-11-03,-0.324266192425
2006-11-06,0.614995014063
2006-11-07,0.203892604217
2006-11-08,2.73311736529
2006-11-09,2.97824160544
2006-11-10,3.54457490526
