Date,pnl
2006-05-01,0.0
2006-05-26,-0.127741157549
2006-05-30,-0.232619991326
2006-05-31,0.178288869417
2006-06-01,0.282781500177
2006-06-02,0.246332138914
2006-06-05,0.0204817855673
2006-06-06,0.187421114001
2006-06-07,-0.0909598349637
2006-06-08,0.0299787860955
2006-06-09,0.858393221817
2006-06-12,0.648879469591
2006-06-13,-0.564166374537
2006-06-14,-0.638981736071
2006-06-15,-0.59402365294
2006-06-16,-0.124761201155
2006-06-19,0.346219184224
2006-06-20,0.224502692588
2006-06-21,0.088126410232
2006-06-22,-1.32819972872
2006-06-23,-1.5119469398
2006-06-26,-1.47413325472
2006-06-27,-1.17193105652
2006-06-28,-1.10769199263
2006-06-29,-0.643917875623
2006-06-30,-0.70767652167
2006-07-03,-0.657877684445
2006-07-05,-0.369998556854
2006-07-06,-0.112067886098
2006-07-07,0.826299887384
2006-07-10,1.16112422064
2006-07-11,1.646141512
2006-07-12,1.69250966593
2006-07-13,2.14680534366
2006-07-14,1.86077287209
2006-07-17,3.2839241255
2006-07-18,2.85745483512
2006-07-19,3.67085138674
2006-07-20,4.33820679782
2006-07-21,3.55853478421
2006-07-24,3.30436315168
2006-07-25,3.25493117334
2006-07-26,3.61308944028
2006-07-27,3.75670231801
2006-07-28,3.67679264935
2006-07-31,4.5831265591
2006-08-01,4.01212307022
2006-08-02,3.58897373509
2006-08-03,3.73445893565
2006-08-04,3.86262813423
2006-08-07,4.27380575406
2006-08-08,4.36794442431
2006-08-09,3.79480353936
2006-08-10,4.04066557068
2006-08-11,3.79167326603
2006-08-14,3.51043084227
2006-08-15,2.47881720734
2006-08-16,1.8484540977
2006-08-17,2.02958008474
2006-08-18,2.31197597254
2006-08-21,2.33839230273
2006-08-22,2.29967892831
2006-08-23,2.82247306609
2006-08-24,2.83963173421
2006-08-25,2.85369890726
2006-08-28,2.62531706379
2006-08-29,2.09508352671
2006-08-30,2.1523878864
2006-08-31,2.3512109223
2006-09-01,1.58640237756
2006-09-05,1.11785152049
2006-09-06,0.635706010601
2006-09-07,0.785565757362
2006-09-08,1.38946587635
2006-09-11,0.792210403658
2006-09-12,0.444455439395
2006-09-13,0.727924731668
2006-09-14,0.98934379219
2006-09-15,0.357500587809
2006-09-18,0.376603107315
2006-09-19,0.525357438937
2006-09-20,0.211196962168
2006-09-21,0.341612474769
2006-09-22,1.09557599889
2006-09-25,1.21609295547
2006-09-26,0.788355205691
2006-09-27,0.757624730936
2006-09-28,0.718291648849
2006-09-29,0.484212189977
2006-10-02,0.681205042052
2006-10-03,0.75727024774
2006-10-04,-0.129805376689
2006-10-05,-0.384789666364
2006-10-06,-0.301086273517
2006-10-09,-0.155000039586
2006-10-10,-0.231980628851
2006-10-11,0.0792664442886
2006-10-12,0.13722981619
2006-10-13,-0.103355935866
2006-10-16,0.315294221138
2006-10-17,0.904360891649
2006-10-18,1.39161168541
2006-10-19,2.31449281543
2006-10-20,2.97645229588
2006-10-23,3.00912164416
2006-10-24,3.97927909061
2006-10-25,4.59202306972
2006-10-26,3.93503916698
2006-10-27,3.87701528803
2006-10-30,4.06440432631
2006-10-31,4.76432698522
2006-11-01,5.86921763079
2006-11-02,4.81196029623
2006-11-03,5.85085600003
2006-11-06,5.81852449392
2006-11-07,6.23586938653
2006-11-08,7.08325875093
2006-11-09,6.87105006677
2006-11-10,7.22114838445
2006-11-13,7.03165248153
2006-11-14,6.86267688254
2006-11-15,7.62292685852
2006-11-16,7.94124202507
2006-11-17,7.52260780416
2006-11-20,7.76541527989
2006-11-21,8.61686458482
2006-11-22,9.12663777104
2006-11-24,7.51477518719
2006-11-27,7.93636216263
2006-11-28,9.13491405803
2006-11-29,10.350515983
2006-11-30,10.9358688803
2006-12-01,10.9974761672
2006-12-04,11.4113858734
2006-12-05,11.6835508512
2006-12-06,11.9876319795
2006-12-07,12.3611588058
2006-12-08,13.1789164834
2006-12-11,13.4803892314
2006-12-12,13.2856224343
2006-12-13,14.086835622
2006-12-14,13.7982690787
2006-12-15,13.5459468084
2006-12-18,13.3068297169
2006-12-19,13.9562417962
2006-12-20,13.4564589584
2006-12-21,13.5045840198
2006-12-22,14.0605759529
2006-12-26,14.3102066921
2006-12-27,15.05260448
2006-12-28,15.5625993563
2006-12-29,16.5992030795
2007-01-03,16.3886758904
2007-01-04,18.0316750018
2007-01-05,18.4507503347
2007-01-08,18.6771724186
2007-01-09,19.7169128404
2007-01-10,21.5461585259
2007-01-11,21.7887605176
2007-01-12,22.9153687002
2007-01-16,23.2435947678
2007-01-17,24.4556026629
2007-01-18,24.3072594787
2007-01-19,24.0301370998
2007-01-22,24.5501135317
2007-01-23,24.7184486321
2007-01-24,24.7415155696
2007-01-25,24.5092577771
2007-01-26,25.1007034808
2007-01-29,24.8101656096
2007-01-30,25.2874798957
2007-01-31,25.9174699895
2007-02-01,27.1595128409
2007-02-02,25.3109840308
2007-02-05,25.0240021246
2007-02-06,24.7677343528
2007-02-07,24.9322982766
2007-02-08,24.489923613
2007-02-09,23.8964648045
2007-02-12,25.2329369757
2007-02-13,26.8720085105
2007-02-14,27.8199672144
2007-02-15,27.9136489676
2007-02-16,28.695449678
2007-02-20,29.1742003194
2007-02-21,28.7934403687
2007-02-22,30.2688221815
2007-02-23,32.0955441714
2007-02-26,28.1051386617
2007-02-27,27.5378008055
2007-02-28,27.454276744
2007-03-01,27.6103768989
2007-03-02,28.121399227
2007-03-05,26.7778321974
2007-03-06,27.0039303421
2007-03-07,26.7808587849
2007-03-08,27.0338817798
2007-03-09,28.1538044071
2007-03-12,29.0791641952
2007-03-13,28.0038236807
2007-03-14,28.158326254
2007-03-15,27.8543836433
2007-03-16,27.5904117319
2007-03-19,28.6311210734
2007-03-20,27.742891786
2007-03-21,27.8182323764
2007-03-22,28.5442383765
2007-03-23,28.956179085
2007-03-26,28.8571035623
2007-03-27,29.3148077277
2007-03-28,28.5571733195
2007-03-29,28.9544111627
2007-03-30,30.2978110138
2007-04-02,29.9944279543
2007-04-03,30.5577373815
2007-04-04,30.9296516752
2007-04-05,31.2962739419
2007-04-09,31.3043681616
2007-04-10,31.8140299464
2007-04-11,32.1047526753
2007-04-12,32.2354116726
2007-04-13,31.704493744
2007-04-16,32.4826893964
2007-04-17,32.7110851938
2007-04-18,33.1650360267
2007-04-19,33.6537607661
2007-04-20,34.4061824976
2007-04-23,35.5995759455
2007-04-24,35.950090303
2007-04-25,35.3149955226
2007-04-26,35.7056513226
2007-04-27,36.3545661904
2007-04-30,37.1713760733
2007-05-01,36.6943302618
2007-05-02,37.5456696972
2007-05-03,37.6762490768
2007-05-04,38.6032677991
2007-05-07,38.9495517527
2007-05-08,39.5290605355
2007-05-09,40.1462237731
2007-05-10,40.2574274465
2007-05-11,40.8609526962
2007-05-14,41.7041202986
2007-05-15,42.2112572157
2007-05-16,43.0551204022
2007-05-17,43.3701784847
2007-05-18,43.0255719958
2007-05-21,42.6276069331
2007-05-22,42.4088611156
2007-05-23,42.6245919351
2007-05-24,43.9981753201
2007-05-25,44.5372705442
2007-05-29,45.2094026116
2007-05-30,46.0044025027
2007-05-31,47.2510852265
2007-06-01,48.7124715812
2007-06-04,49.3152155093
2007-06-05,48.0049535494
2007-06-06,47.1940763082
2007-06-07,46.9124255205
2007-06-08,47.3428228722
2007-06-11,47.9027469328
2007-06-12,48.3972986314
2007-06-13,50.6613580559
2007-06-14,49.6436775546
2007-06-15,51.2610134042
2007-06-18,51.5061272758
2007-06-19,52.0852918638
2007-06-20,54.1399066732
2007-06-21,54.6738188098
2007-06-22,54.0695101637
2007-06-25,53.2748874929
2007-06-26,53.3645116461
2007-06-27,53.9058505665
2007-06-28,55.2530655288
2007-06-29,55.852736948
2007-07-02,56.6082890062
2007-07-03,59.976342123
2007-07-05,60.5255839641
2007-07-06,62.8169260774
2007-07-09,62.7647482628
2007-07-10,63.5669109898
2007-07-11,62.5147603735
2007-07-12,61.7425566515
2007-07-13,62.5380544435
2007-07-16,62.6995834721
2007-07-17,63.345101017
2007-07-18,64.0732399383
2007-07-19,64.0868180496
2007-07-20,65.0334721959
2007-07-23,66.3048189134
2007-07-24,65.4786844759
2007-07-25,64.4431763619
2007-07-26,62.4890075852
2007-07-27,62.8689125599
2007-07-30,63.2312283502
2007-07-31,62.0301999546
2007-08-01,63.1025678623
2007-08-02,63.6940719315
2007-08-03,57.8372573007
2007-08-06,55.8375334735
2007-08-07,53.7050936568
2007-08-08,53.0157400796
2007-08-09,50.3541366116
2007-08-10,51.5626861997
2007-08-13,51.4353797119
2007-08-14,50.4687640884
2007-08-15,48.2912846049
2007-08-16,48.6823601255
2007-08-17,48.5469712583
2007-08-20,46.4334704668
2007-08-21,46.9347158193
2007-08-22,46.483204323
2007-08-23,46.5038420934
2007-08-24,47.6160199943
2007-08-27,46.9706127736
2007-08-28,46.8234477411
2007-08-29,47.3484508759
2007-08-30,47.6069356301
2007-08-31,47.7931496879
2007-09-04,47.9839019804
2007-09-05,48.1831384933
2007-09-06,47.6562551117
2007-09-07,48.1835767326
2007-09-10,48.6563229078
2007-09-11,49.0843627248
2007-09-12,48.6445856658
2007-09-13,48.2046449781
2007-09-14,48.0965665662
2007-09-17,47.8943537242
2007-09-18,48.1633186338
2007-09-19,49.1001628401
2007-09-20,49.8636403995
2007-09-21,50.2132397637
2007-09-24,51.4576514126
2007-09-25,51.627436775
2007-09-26,51.9452515591
2007-09-27,51.2253978694
2007-09-28,51.3485328424
2007-10-01,50.6289255663
2007-10-02,49.945835836
2007-10-03,50.7204948388
2007-10-04,50.6540526103
2007-10-05,50.7652227602
2007-10-08,51.1912255216
2007-10-09,51.6769806598
2007-10-10,50.8097510228
2007-10-11,51.2109140249
2007-10-12,51.2474574559
2007-10-15,51.1962723156
2007-10-16,51.7579426448
2007-10-17,52.5929809906
2007-10-18,52.106594975
2007-10-19,51.5956015771
2007-10-22,52.7577977299
2007-10-23,52.4516512105
2007-10-24,52.5341494278
2007-10-25,52.977797575
2007-10-26,53.040495283
2007-10-29,52.4466270669
2007-10-30,52.8251878245
2007-10-31,52.709831685
2007-11-01,53.7534540593
2007-11-02,54.9837088634
2007-11-05,55.9007232279
2007-11-06,55.7555321435
2007-11-07,55.9555816001
2007-11-08,55.8112908943
