Date,pnl
2006-05-01,0.0
2006-05-02,-0.613015569518
2006-05-03,-2.25558337252
2006-05-04,-2.03269486194
2006-05-05,-2.00055020189
2006-05-08,-0.505079374142
2006-05-09,-0.315768223843
2006-05-10,-0.0395882111672
2006-05-11,-1.56576939943
2006-05-12,-1.28272952092
2006-05-15,-1.45785937375
2006-05-16,-1.30233173434
2006-05-17,-0.852298558859
2006-05-18,-1.14377817268
2006-05-19,0.381822395698
2006-05-22,-0.66152017784
2006-05-23,0.548244436342
2006-05-24,-1.01156754318
2006-05-25,-1.56991436414
2006-05-26,-1.77633695745
2006-05-30,-1.64710121406
2006-05-31,-1.1768619845
2006-06-01,-0.455508993098
2006-06-02,-0.786020750178
2006-06-05,-0.332472473651
2006-06-06,-0.0847918329554
2006-06-07,0.955436505796
2006-06-08,0.693083380978
2006-06-09,2.48160520004
2006-06-12,2.89121983782
2006-06-13,2.0927587102
2006-06-14,0.738195585659
2006-06-15,0.544736178214
2006-06-16,0.674718333705
2006-06-19,1.23212354966
2006-06-20,0.588887909941
2006-06-21,0.725336110211
2006-06-22,0.0767444698703
2006-06-23,-0.171607843242
2006-06-26,0.667501981996
2006-06-27,1.24236885687
2006-06-28,0.739018728826
2006-06-29,1.43409838591
2006-06-30,1.46585715612
2006-07-03,1.947208418
2006-07-05,2.11342168365
2006-07-06,2.84763364425
2006-07-07,3.77923754059
2006-07-10,4.30011867007
2006-07-11,4.9974348668
2006-07-12,5.50434543621
2006-07-13,5.78649237557
2006-07-14,5.56569446405
2006-07-17,6.65811564053
2006-07-18,6.66267610513
2006-07-19,9.29340325785
2006-07-20,10.6860246247
2006-07-21,9.66146123396
2006-07-24,9.71446059149
2006-07-25,10.4678832132
2006-07-26,10.0648131335
2006-07-27,10.2678827354
2006-07-28,10.3719308989
2006-07-31,11.0226892616
2006-08-01,10.5475358638
2006-08-02,8.4889010754
2006-08-03,8.36919207007
2006-08-04,7.53578804193
2006-08-07,8.10075905507
2006-08-08,8.75342813994
2006-08-09,8.03610424976
2006-08-10,7.82313244488
2006-08-11,7.66360208424
2006-08-14,7.99221331406
2006-08-15,7.53908453094
2006-08-16,7.7180730018
2006-08-17,7.79604053511
2006-08-18,7.38960746548
2006-08-21,7.64383738707
2006-08-22,7.89999391351
2006-08-23,8.64751589073
2006-08-24,8.72707446159
2006-08-25,9.10373692367
2006-08-28,9.98421899131
2006-08-29,11.010727279
2006-08-30,11.2553124828
2006-08-31,11.8345406791
2006-09-01,11.0737505619
2006-09-05,10.2858165289
2006-09-06,9.85871363963
2006-09-07,10.3565182308
2006-09-08,11.3737429168
2006-09-11,12.6596270436
2006-09-12,12.1115791491
2006-09-13,12.7677438688
2006-09-14,12.9679106558
2006-09-15,12.0844857199
2006-09-18,11.8043966618
2006-09-19,12.614723417
2006-09-20,12.3228336297
2006-09-21,12.9175516008
2006-09-22,13.8346814892
2006-09-25,14.4976901174
2006-09-26,13.5944099871
2006-09-27,13.9321362198
2006-09-28,13.6087953886
2006-09-29,14.1835304784
2006-10-02,14.2983412933
2006-10-03,12.0639382511
2006-10-04,10.2278231677
2006-10-05,10.1540805104
2006-10-06,10.1585484694
2006-10-09,10.4042795275
2006-10-10,10.0704164369
2006-10-11,10.3992120757
2006-10-12,10.9624263398
2006-10-13,11.5471297598
2006-10-16,10.804290964
2006-10-17,10.6186493538
2006-10-18,11.1760427658
2006-10-19,12.6109286833
2006-10-20,13.6636337252
2006-10-23,13.6947024783
2006-10-24,14.7696959317
2006-10-25,15.5098083212
2006-10-26,15.4003883791
2006-10-27,15.299214374
2006-10-30,15.7218997811
2006-10-31,17.4750938638
2006-11-01,19.2373589975
2006-11-02,17.5245559002
2006-11-03,18.7696438964
2006-11-06,19.8710988347
2006-11-07,19.3686022029
2006-11-08,22.7950808303
2006-11-09,22.8001513295
2006-11-10,23.3746417203
2006-11-13,22.6380248544
2006-11-14,23.1604151034
2006-11-15,23.590315344
2006-11-16,23.288596607
2006-11-17,22.5281077846
2006-11-20,23.3032283248
2006-11-21,24.8492675487
2006-11-22,25.7533745171
2006-11-24,24.556323656
2006-11-27,23.8848879626
2006-11-28,24.4068075439
2006-11-29,26.1890082591
2006-11-30,27.1827672948
2006-12-01,27.0128340572
2006-12-04,28.2556060322
2006-12-05,28.5895163342
2006-12-06,29.303106204
2006-12-07,29.1579067322
2006-12-08,29.6339696339
2006-12-11,29.1002981549
2006-12-12,28.8854303593
2006-12-13,29.3254678553
2006-12-14,29.1635144714
2006-12-15,28.8404358687
2006-12-18,28.8932068155
2006-12-19,29.0230843036
2006-12-20,28.8760538249
2006-12-21,29.2162948775
2006-12-22,30.18176759
2006-12-26,30.9069126162
2006-12-27,31.2182821508
2006-12-28,31.1163821487
2006-12-29,32.4504978219
2007-01-03,31.9325322819
2007-01-04,31.5525118362
2007-01-05,31.6011763008
2007-01-08,31.8641016364
2007-01-09,32.732148744
2007-01-10,33.6342896691
2007-01-11,33.3186639504
2007-01-12,34.395937914
2007-01-16,35.1301002989
2007-01-17,37.9074408706
2007-01-18,36.8005241752
2007-01-19,36.9108881042
2007-01-22,36.9848211859
2007-01-23,36.5835668569
